"행정구역(시군구)별",2015. 12,2015. 12,2015. 12
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51529338,25758186,25771152
"서울특별시",10022181,4930943,5091238
"부산광역시",3513777,1735570,1778207
"대구광역시",2487829,1237291,1250538
"인천광역시",2925815,1469869,1455946
"광주광역시",1472199,729662,742537
"대전광역시",1518775,759778,758997
"울산광역시",1173534,604889,568645
"세종특별자치시",210884,105752,105132
"경기도",12522606,6299812,6222794
"강원도",1549507,781434,768073
"충청북도",1583952,798896,785056
"충청남도",2077649,1054439,1023210
"전라북도",1869711,930255,939456
"전라남도",1908996,953881,955115
"경상북도",2702826,1357306,1345520
"경상남도",3364702,1694981,1669721
"제주특별자치도",624395,313428,310967
