"행정구역별",2010,2011,2012,2013,2014,2015
"전국",0.36,0.36,0.37,0.38,0.39,0.41
"서울특별시",0.29,0.29,0.29,0.29,0.30,0.30
"부산광역시",0.32,0.33,0.33,0.34,0.34,0.36
"대구광역시",0.38,0.39,0.40,0.42,0.43,0.44
"인천광역시",0.34,0.35,0.37,0.40,0.43,0.46
"광주광역시",0.36,0.37,0.37,0.39,0.40,0.42
"대전광역시",0.38,0.39,0.39,0.40,0.41,0.42
"울산광역시",0.39,0.40,0.41,0.42,0.43,0.45
"세종특별자치시",-,-,0.42,0.43,0.44,0.44
"경기도",0.36,0.36,0.36,0.37,0.38,0.39
"강원도",0.40,0.40,0.41,0.42,0.43,0.45
"충청북도",0.40,0.41,0.42,0.43,0.44,0.46
"충청남도",0.40,0.41,0.42,0.43,0.45,0.47
"전라북도",0.38,0.39,0.40,0.42,0.43,0.45
"전라남도",0.37,0.39,0.40,0.42,0.44,0.47
"경상북도",0.41,0.42,0.43,0.45,0.47,0.48
"경상남도",0.42,0.44,0.44,0.45,0.45,0.46
"제주특별자치도",0.44,0.45,0.50,0.56,0.63,0.70
