"지역별(1)",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"지역별(1)",계,귀가,귀가,귀가,귀가,귀가,귀가,귀가,사망,사망,사망,사망,사망,사망,입원,입원,입원,입원,입원,입원,전원,전원,전원,전원,전원,전원,전원,전원,전원,기타,미상/미입력
"지역별(1)",소계,소계,증상호전으로귀가,말기질환으로귀가,가망없는퇴실,자의퇴실,외래방문후귀가,귀가기타,소계,치료대상이되지않는 DOA,내원시사망응급실CPR미시행사망,내원시사망응급실CPR시행후사망,내원시생존응급실치료후사망,사망기타,소계,일반병실,중환자실,수술실→병실,수술실→중환자실,입원기타,소계,병실부족전원,중환자실부족전원,응급수술처치불가전원,상급병원으로전원,12차의료기관으로전원,장기시설로전원,환자사정으로전원,전원기타,소계,소계
"전체",5117892,3923096,3612795,1636,546,108498,38764,160857,31239,12841,3502,9901,4351,644,1072423,871691,148326,36160,15060,1186,74859,6418,3513,6656,12844,4054,1407,35305,4662,8792,7483
"서울",1259797,987563,917064,617,120,30031,5465,34266,7168,3620,624,2208,679,37,246871,206581,30143,6857,2614,676,15953,4395,1650,1755,362,1706,292,5131,662,1883,359
"부산",224924,161262,150030,85,9,5532,2836,2770,1393,134,222,411,409,217,58300,47603,8437,1453,791,16,3746,92,13,567,214,287,137,2340,96,203,20
"대구",189583,123906,112618,73,46,7681,74,3414,2150,290,527,835,422,76,53603,41639,8534,2402,992,36,5392,125,23,247,99,487,116,3849,446,830,3702
"인천",326577,259777,235657,44,2,4457,2272,17345,1623,650,124,710,116,23,62678,50412,9893,1198,1173,2,2471,69,95,165,446,49,4,1590,53,18,10
"광주",158269,112436,104017,35,34,1548,904,5898,879,179,89,269,317,25,39664,31365,6280,1381,577,61,4271,163,65,166,723,317,57,1866,914,256,763
"대전",190989,138064,128008,50,7,5822,1028,3149,857,319,90,342,86,20,50554,42352,6783,993,422,4,1175,51,116,235,99,48,2,511,113,165,174
"울산",80018,60679,58437,4,1,832,787,618,314,80,20,127,87,-,18484,14716,2885,592,291,-,533,7,18,93,74,1,-,316,24,-,8
"경기",1245029,992636,927006,312,45,28568,8816,27889,6773,3172,790,2237,523,51,230933,187345,30847,9375,3297,69,12076,831,986,1154,2784,201,290,5359,471,2218,393
"강원",182124,131669,122650,21,13,2349,827,5809,1726,825,157,512,199,33,44472,34613,7361,1652,813,33,3816,41,19,284,831,62,13,2506,60,166,275
"충북",112216,85182,68198,13,5,2021,991,13954,877,460,74,223,115,5,23667,19206,3167,850,382,62,2338,39,122,271,736,35,16,1019,100,132,20
"충남",208899,163938,156087,46,14,2786,2921,2084,1212,548,93,380,154,37,37637,30250,5929,953,492,13,5383,115,116,565,1755,29,20,2463,320,261,468
"전북",158063,104668,95377,118,32,6418,509,2214,1419,435,184,345,444,11,45912,37378,5133,2828,565,8,4902,36,6,220,1015,433,129,2913,150,858,304
"전남",107244,77995,60914,47,25,420,2847,13742,721,331,70,217,98,5,25531,19570,4495,870,591,5,2956,35,16,111,767,55,160,1418,394,28,13
"경북",264354,204916,172238,14,30,5219,4481,22934,1765,1064,95,328,256,22,53402,42329,8389,1769,754,161,3464,63,132,364,1438,1,5,1181,280,441,366
"경남",262941,200907,190676,77,160,3914,2214,3866,1616,308,310,542,385,71,53542,44131,6083,2467,825,36,5161,267,27,362,1084,341,153,2424,503,1114,601
"제주",146865,117498,113818,80,3,900,1792,905,746,426,33,215,61,11,27173,22201,3967,520,481,4,1222,89,109,97,417,2,13,419,76,219,7
